id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
963295315322106070,Chic Boutique 2BR Apt | Walk to Station w/ Parking,190710137,Farrukh,,Auburn,-33.849602,151.032745,Entire home/apt,211,1,14,2024-04-04,2.14,1,221,14,PID-STRA-59700
963329808780477819,"Bright studio, balcony & stunning city/harbor view",70089875,Glenn,,Sydney,-33.8733248,151.2219618,Entire home/apt,176,1,77,2024-06-08,8.08,4,112,77,Exempt
963333095430940508,Stunning one bedroom in Double Bay,108083073,Urban Stays,,Woollahra,-33.87839952195354,151.24377575939243,Entire home/apt,225,3,11,2024-05-20,1.21,52,354,11,PID-STRA-55220
963333802651600359,Stunning 1 bed plus study in Double Bay,108083073,Urban Stays,,Woollahra,-33.87657,151.24221,Entire home/apt,274,3,4,2024-04-19,1.11,52,304,4,PID-STRA-55273
963380399994650663,Warm house to explore vnese town,384358104,Kien Phat,,Fairfield,-33.89554926729645,150.92371568083763,Entire home/apt,186,1,8,2024-06-02,0.90,2,267,8,Exempt
963449368873909762,In the tree tops by the beach.,191476289,Melissa,,Pittwater,-33.62713,151.32527,Entire home/apt,550,5,1,2023-10-02,0.12,1,123,1,PID-STRA-55505
963472264887169800,Stylish Designer Inner City Pad,70619746,Marcus,,Sydney,-33.902048941067264,151.20912317186594,Entire home/apt,213,2,29,2024-05-26,3.40,1,216,29,PID-STRA-56685
963495153077061028,Coastal entertainers dream,533221087,Clara,,Warringah,-33.7732117,151.2860533,Entire home/apt,1402,4,2,2024-04-02,0.36,1,84,2,PID-STRA-55622
963642437867890399,Perfectly Located CBD 3 bedrooms Apartment,481771357,Jack,,Sydney,-33.87826,151.2048,Entire home/apt,413,2,4,2024-05-26,2.00,3,211,4,PID-STRA-64657
963958528603854552,Ultimo,227351371,Ghassan,,Sydney,-33.8827151,151.1962292,Entire home/apt,150,2,55,2024-06-08,6.30,1,22,55,Exempt
963964096197243949,4 Bedroom House in Bondi Junction,465081448,Ping,,Waverley,-33.8911263,151.2436405,Entire home/apt,390,3,15,2024-06-07,1.62,1,103,15,PID-STRA-55458
963976425862588686,Tranquil & cosy villa 150 meters to Gordon Station,79030005,Laura,,Ku-Ring-Gai,-33.75373,151.15535,Entire home/apt,239,1,40,2024-06-07,4.23,1,144,40,PID-STRA-55472
963976889206796872,Georgina: Mid-Century Modern Poolside Stay,270132187,Ween,,Sydney,-33.89379,151.18461,Entire home/apt,198,2,15,2024-04-21,1.99,39,337,15,PID-STRA-34464
964047544670833840,Superb Apt in an Heart of City Centre : Hyde Park,431750865,Sarah,,Sydney,-33.87543,151.20962,Entire home/apt,359,2,29,2024-06-03,3.39,3,135,29,PID-STRA-55439
964066940868971706,Breathtaking 270 degree Views,78596933,Peter,,Sutherland Shire,-34.081626,151.1590269,Entire home/apt,196,2,39,2024-05-03,4.61,2,225,39,PID-STRA-18651
964072589994274879,Studio Pool House,518462207,Chris,,North Sydney,-33.83657,151.21656,Entire home/apt,393,1,35,2024-05-04,3.86,1,89,35,PID-STRA-53626
964080858004557568,Modern Apt - 1BR - A/C - Nearby Stations & Parks,288743418,Ken,,Strathfield,-33.8636996735489,151.07893856607393,Entire home/apt,192,4,7,2024-02-19,0.74,135,272,7,PID-STRA-27091
964081279755336875,Stylish Home – 4 BR –  Parking/Close to Transport,288743418,Ken,,Parramatta,-33.78416,151.07554,Entire home/apt,163,4,8,2024-05-24,1.26,135,301,8,PID-STRA-43485
964094323534020167,Cozy Single Room - Close to Transport & Shops,288743418,Ken,,Ku-Ring-Gai,-33.74301236338237,151.1324123508146,Private room,34,2,4,2024-03-08,0.42,135,28,4,PID-STRA-50900
964102140897120477,Relaxed Double/Queen Room - Close to Station,288743418,Ken,,Fairfield,-33.88188053181795,150.9584279528233,Private room,47,4,9,2024-05-20,1.14,135,339,9,PID-STRA-24376
964545953512415549,Cute cottage close to shops,533511750,Jessica,,Pittwater,-33.6805003,151.3007685,Entire home/apt,300,14,0,,,1,176,0,PID-STRA-55609
